Date,Low,High,Close,Open,Volume,predicted_low,predicted_high,predicted_mean,signal1,signal2
2021-11-11,63580.0,65559.5,65559.5,64393.5,681765600.0,63150.9915,66688.353,64857.804,0,0
2021-11-12,63404.0,66387.0,63603.5,65559.5,955110700.0,63322.5495,66571.549,65047.32675,0,0
2021-11-13,58533.0,63603.5,60100.0,63603.5,2142131300.0,63062.958,66613.374,64540.076,2,0
2021-11-14,58388.0,60890.0,60360.0,60100.0,1258905400.0,55651.997,62279.639,59499.7015,1,0
2021-11-15,56460.0,60988.0,56903.5,60360.0,1765707300.0,57161.9895,61663.9015,60452.404,2,0
2021-11-16,55655.0,58338.0,58076.5,56903.5,1000498100.0,54804.698,59696.5685,57443.882,0,0
2021-11-17,57415.5,59862.5,59739.5,58076.5,664355500.0,56193.796,59356.3955,57725.8195,1,0
2021-11-18,58505.5,60050.0,58650.0,59739.5,654914600.0,58113.5875,60448.9,59186.68675,0,0
2021-11-19,55560.0,59576.5,56271.0,58650.0,1419633600.0,56849.1115,60446.429,58445.47625,0,0
2021-11-20,55335.5,57885.5,57546.0,56271.0,1181629700.0,54675.557,58096.7225,56405.779,2,0
2021-11-21,55888.0,57755.5,57175.5,57546.0,863038900.0,55048.614,58711.546,56934.09225,1,1
2021-11-22,57055.0,59448.5,58976.0,57175.5,887460300.0,54625.5135,58765.74,56743.75125,0,1
2021-11-23,53511.0,59186.5,53782.0,58976.0,1783383500.0,56449.1235,60041.476,58185.354,0,0
2021-11-24,53647.5,55284.0,54750.5,53782.0,569449500.0,52462.3935,56844.264,55107.998,2,1
2021-11-25,53315.5,57480.5,57343.0,54750.5,907317800.0,52733.9665,56776.762,54926.5785,0,1
2021-11-26,56737.5,58919.0,57842.5,57343.0,873341400.0,54425.0245,59100.678,56731.7175,1,0
2021-11-27,55925.0,59282.0,56968.5,57842.5,1345916000.0,55843.1375,59158.8305,57549.14125,0,0
2021-11-28,56497.0,59124.0,57202.0,56968.5,1114520300.0,54933.177,58632.55,56887.68475,0,0
2021-11-29,55811.0,57412.0,56508.0,57202.0,1000391600.0,54964.7125,58899.7255,56795.22775,0,0
2021-11-30,51554.5,57699.0,53633.0,56508.0,1889433700.0,54121.797,58436.179,56315.66375,0,0
2021-12-01,41498.5,53856.5,49205.0,53633.0,2805872600.0,52159.053,56779.7785,54571.433,2,0
2021-12-02,47800.5,49765.0,49434.0,49205.0,801774900.0,47294.359,51865.088,49908.5665,0,0
2021-12-03,47156.5,50935.0,50467.0,49434.0,1285109700.0,47725.2635,51373.423,49929.24925,0,0
2021-12-04,50058.0,51973.5,50618.5,50467.0,785385400.0,48308.1235,52207.1315,50508.2675,0,0
2021-12-05,48639.0,51232.5,50493.5,50618.5,784151500.0,49083.574,53124.585,51301.63025,0,0
2021-12-06,47350.0,50839.5,47567.0,50493.5,920742500.0,48522.9515,52299.9915,50593.59875,0,0
2021-12-07,46909.0,50100.0,47161.0,47567.0,1019266500.0,46679.98,48998.718,47360.86325,1,0
2021-12-08,46767.5,49496.0,49391.0,47161.0,703781800.0,44278.16,48567.8575,46306.9925,0,0
2021-12-09,48631.5,50785.0,50066.5,49391.0,577168000.0,48376.089,51372.007,50429.5895,2,0
2021-12-10,45707.0,50191.0,46689.5,50066.5,1179530000.0,48394.225,52026.759,50535.4815,0,0
2021-12-11,46280.5,48666.0,48356.5,46689.5,891591600.0,42927.5275,48456.096,45900.6585,1,1
2021-12-12,46532.0,49514.5,48880.0,48356.5,1179756100.0,46843.7575,48751.3605,47685.22075,0,0
2021-12-13,47475.0,49437.0,47630.0,48880.0,693052200.0,48122.983,50812.546,50205.64675,2,0
2021-12-14,45422.5,47988.5,46152.0,47630.0,1051363900.0,46903.2405,48732.277,47611.157,1,0
2021-12-15,45485.5,47345.5,46829.0,46152.0,537933800.0,42577.8775,47203.944,45147.88275,0,1
2021-12-16,46408.0,48270.5,46650.5,46829.0,759820400.0,44278.959,47930.9455,46492.31475,0,1
2021-12-17,45561.0,47532.0,46892.0,46650.5,923172900.0,43473.673,47908.618,46088.39775,0,1
2021-12-18,46657.0,49299.0,48879.0,46892.0,841803900.0,44172.6925,47930.2065,46125.94775,0,1
2021-12-19,48451.0,49665.5,48574.5,48879.0,561561700.0,47833.713,50192.0285,49663.204,2,2
2021-12-20,48002.0,51368.5,50815.5,48574.5,848398800.0,47206.143,49864.844,48801.8465,0,0
2021-12-21,50404.5,51874.0,50800.0,50815.5,746250000.0,48575.249,52258.544,50543.02175,1,2
2021-12-22,50005.0,51177.0,50380.0,50800.0,506531400.0,49251.8105,53132.9375,51324.67425,2,2
2021-12-23,49408.5,51314.5,50775.0,50380.0,602764000.0,48913.479,52727.8935,50886.674,0,2
2021-12-24,50436.0,52147.0,50700.0,50775.0,725148600.0,48542.409,52515.4605,50781.8775,0,2
2021-12-25,47242.0,50700.0,47536.0,50700.0,1063412600.0,48831.413,52926.011,50939.812,0,2
2021-12-26,46000.0,48105.0,46415.5,47536.0,942432900.0,46673.2435,48953.642,47544.77675,0,0
2021-12-27,45872.5,47882.5,47111.0,46415.5,740468800.0,44000.807,47487.363,45809.8725,1,1
2021-12-28,45500.0,48546.0,46200.0,47111.0,1045402500.0,44722.9785,48011.177,46521.9445,0,1
2021-12-29,46192.5,47925.5,47728.5,46200.0,543638500.0,43695.8545,47191.8805,45477.7655,0,1
2021-12-30,46647.5,47992.0,47300.0,47728.5,539072000.0,46752.555,48361.2415,47606.83875,0,0
2021-12-31,45668.5,47577.0,46425.0,47300.0,760545500.0,46429.738,48361.343,47306.89925,2,0
2022-01-01,45500.0,47535.5,45796.0,46425.0,799086600.0,43686.2765,47433.7355,45648.26875,1,1
2022-01-02,42428.0,47067.5,43395.0,45796.0,1753918300.0,43783.595,47174.9365,45531.9035,0,0
2022-01-03,42333.0,43750.0,43072.0,43395.0,677677400.0,42461.539,45415.356,44100.39675,2,0
2022-01-04,40551.0,43131.5,41542.5,43072.0,1289970100.0,40674.6325,43988.491,42366.73075,1,0
2022-01-05,40491.5,42289.0,41659.5,41542.5,704883100.0,39562.2945,43618.141,41363.82625,0,1
2022-01-06,41189.0,42750.0,41852.5,41659.5,582614300.0,39171.651,43178.046,40888.9325,0,1
2022-01-07,39609.0,42227.5,41800.0,41852.5,1184377100.0,39015.782,43362.4535,40713.0815,0,1
2022-01-08,41251.0,43090.5,42715.0,41800.0,761201700.0,38897.663,43041.4055,40635.511,0,1
2022-01-09,42448.5,44666.0,43898.5,42715.0,762495800.0,38844.4045,43529.998,40709.861,0,1
2022-01-10,42330.5,44403.0,42554.5,43898.5,921101900.0,40383.864,46576.1625,43540.93425,0,0
2022-01-11,41751.5,43460.0,43058.5,42554.5,729986800.0,40088.5675,43476.2445,41139.55175,0,0
2022-01-12,42571.5,43800.0,43075.0,43058.5,500524900.0,40515.974,43704.2705,41611.76425,0,0
2022-01-13,42603.5,43478.0,43065.0,43075.0,481471900.0,40861.881,43849.5765,41913.30275,0,0
2022-01-14,41550.0,43172.0,42207.5,43065.0,615739200.0,40708.073,43623.5835,41762.955,0,0
2022-01-15,41250.0,42718.5,42362.5,42207.5,604009300.0,40556.3105,43520.3975,41484.07325,0,0
2022-01-16,41111.5,42579.0,41653.0,42362.5,800597500.0,40616.1965,43467.3415,41519.37225,0,0
2022-01-17,40531.5,43503.0,40650.0,41653.0,924430500.0,40547.2345,43369.8185,41480.20175,0,0
2022-01-18,35394.5,41067.0,36436.5,40650.0,2100109600.0,39239.7435,42716.815,40127.89175,0,0
2022-01-19,33973.0,36799.5,35052.0,36436.5,1213128000.0,34695.139,38519.16,36951.50175,2,0
2022-01-20,34613.0,36513.5,36252.0,35052.0,787106900.0,33430.416,36990.986,35158.43525,0,1
2022-01-21,32898.5,37560.0,36657.5,36252.0,1752304000.0,33899.463,36945.008,35273.21325,1,0
2022-01-22,35717.0,37539.0,36949.0,36657.5,895249700.0,35408.7315,37684.184,36866.7305,2,0
2022-01-23,36260.0,38906.0,36819.0,36949.0,1077510300.0,35847.1935,38383.8735,37033.0295,0,0
2022-01-24,35514.0,37246.5,37163.5,36819.0,821052200.0,35935.741,38451.559,37160.42425,0,0
2022-01-25,36166.0,38002.0,37710.0,37163.5,615703100.0,35417.977,38284.6465,36889.93025,1,0
2022-01-26,37281.5,38745.0,38174.0,37710.0,577571500.0,36217.6555,38702.2145,37198.17025,0,0
2022-01-27,37342.5,38368.5,37893.5,38174.0,459399600.0,36312.472,39090.507,37599.14675,0,0
2022-01-28,36629.5,38745.0,38473.0,37893.5,722617500.0,36218.3425,38788.724,37313.20975,0,0
2022-01-29,38000.0,39330.5,38687.0,38473.0,884188200.0,36599.4585,40053.06,38290.75175,0,2
2022-01-30,36602.5,38865.0,36904.5,38687.0,746883200.0,36839.418,40542.0455,38839.65075,2,2
2022-01-31,36222.5,37379.0,37310.0,36904.5,593239500.0,35877.022,38878.579,37008.775,0,0
2022-02-01,37025.0,41737.0,41585.5,37310.0,1127249600.0,35755.334,38643.1875,36863.7705,1,0
2022-02-02,40955.0,41949.5,41387.0,41585.5,601055700.0,39887.183,42998.339,41062.78025,0,2
2022-02-03,41133.0,42693.0,42375.5,41387.0,569456200.0,40197.734,43088.47,41461.08725,2,2
2022-02-04,41623.5,44550.0,43845.5,42375.5,931253100.0,40642.863,43308.337,41710.02425,1,0
2022-02-05,42690.0,45530.0,44045.0,43845.5,1229701300.0,42279.3735,46977.4905,44608.02625,2,2
2022-02-06,43116.5,44829.5,44403.0,44045.0,788580400.0,42469.982,46887.0785,44871.682,0,2
2022-02-07,43200.0,45853.5,43491.5,44403.0,1287302000.0,42772.2545,46690.615,44950.59825,0,2
2022-02-08,41934.5,43930.5,42378.0,43491.5,989645700.0,42396.351,45531.763,44156.62825,0,0
