Date,Low,High,Close,Open,Volume,predicted_low,predicted_high,predicted_mean,signal1,signal2
2021-11-11,63580.0,65559.5,65559.5,64393.5,681765600.0,61614.863,66167.43,64082.91,0,0
2021-11-12,63404.0,66387.0,63603.5,65559.5,955110700.0,62930.926,66317.06,64099.35,0,0
2021-11-13,58533.0,63603.5,60100.0,63603.5,2142131300.0,63220.402,66794.055,65443.34,2,0
2021-11-14,58388.0,60890.0,60360.0,60100.0,1258905400.0,58301.254,63040.973,60973.504,0,0
2021-11-15,56460.0,60988.0,56903.5,60360.0,1765707300.0,59361.664,62826.223,58752.91,1,0
2021-11-16,55655.0,58338.0,58076.5,56903.5,1000498100.0,55571.766,59333.56,57559.58,2,0
2021-11-17,57415.5,59862.5,59739.5,58076.5,664355500.0,55942.363,59843.016,56454.348,1,0
2021-11-18,58505.5,60050.0,58650.0,59739.5,654914600.0,56916.297,59762.6,58019.57,0,0
2021-11-19,55560.0,59576.5,56271.0,58650.0,1419633600.0,56671.117,59697.734,57654.027,0,0
2021-11-20,55335.5,57885.5,57546.0,56271.0,1181629700.0,55237.344,59751.258,56858.465,2,0
2021-11-21,55888.0,57755.5,57175.5,57546.0,863038900.0,54753.066,60377.95,57266.77,1,1
2021-11-22,57055.0,59448.5,58976.0,57175.5,887460300.0,54622.586,60537.184,56946.49,0,1
2021-11-23,53511.0,59186.5,53782.0,58976.0,1783383500.0,57840.44,59557.453,58300.855,0,0
2021-11-24,53647.5,55284.0,54750.5,53782.0,569449500.0,52691.066,57814.66,55526.65,2,1
2021-11-25,53315.5,57480.5,57343.0,54750.5,907317800.0,51682.723,57327.617,53822.08,1,1
2021-11-26,56737.5,58919.0,57842.5,57343.0,873341400.0,54135.992,57996.33,56245.68,0,0
2021-11-27,55925.0,59282.0,56968.5,57842.5,1345916000.0,56009.332,59794.246,58309.996,2,0
2021-11-28,56497.0,59124.0,57202.0,56968.5,1114520300.0,55717.945,59081.266,57028.01,0,0
2021-11-29,55811.0,57412.0,56508.0,57202.0,1000391600.0,54742.543,59119.254,57638.31,0,0
2021-11-30,51554.5,57699.0,53633.0,56508.0,1889433700.0,54507.79,58141.184,55684.387,1,0
2021-12-01,41498.5,53856.5,49205.0,53633.0,2805872600.0,51553.906,55628.598,52857.305,0,0
2021-12-02,47800.5,49765.0,49434.0,49205.0,801774900.0,47686.766,52296.22,49879.12,2,0
2021-12-03,47156.5,50935.0,50467.0,49434.0,1285109700.0,48584.473,51533.93,49416.45,1,0
2021-12-04,50058.0,51973.5,50618.5,50467.0,785385400.0,47245.797,50666.312,49122.367,0,0
2021-12-05,48639.0,51232.5,50493.5,50618.5,784151500.0,48472.89,52024.24,51470.15,2,0
2021-12-06,47350.0,50839.5,47567.0,50493.5,920742500.0,46998.266,51564.543,49071.883,1,0
2021-12-07,46909.0,50100.0,47161.0,47567.0,1019266500.0,44929.156,50548.668,47744.223,2,0
2021-12-08,46767.5,49496.0,49391.0,47161.0,703781800.0,44988.516,49620.06,47048.13,1,0
2021-12-09,48631.5,50785.0,50066.5,49391.0,577168000.0,46934.137,50950.473,48574.844,0,0
2021-12-10,45707.0,50191.0,46689.5,50066.5,1179530000.0,45847.36,51100.34,48566.742,0,0
2021-12-11,46280.5,48666.0,48356.5,46689.5,891591600.0,41747.527,49599.94,46303.98,0,1
2021-12-12,46532.0,49514.5,48880.0,48356.5,1179756100.0,44248.99,49535.35,46572.43,0,1
2021-12-13,47475.0,49437.0,47630.0,48880.0,693052200.0,45136.734,49680.844,46348.023,0,1
2021-12-14,45422.5,47988.5,46152.0,47630.0,1051363900.0,44836.84,49528.914,47425.902,0,1
2021-12-15,45485.5,47345.5,46829.0,46152.0,537933800.0,41879.734,47616.445,44979.973,0,1
2021-12-16,46408.0,48270.5,46650.5,46829.0,759820400.0,43215.355,47104.94,45344.695,0,1
2021-12-17,45561.0,47532.0,46892.0,46650.5,923172900.0,42486.97,48068.074,44678.477,0,1
2021-12-18,46657.0,49299.0,48879.0,46892.0,841803900.0,43158.395,47392.812,45628.633,0,1
2021-12-19,48451.0,49665.5,48574.5,48879.0,561561700.0,46941.86,49975.184,48565.246,0,0
2021-12-20,48002.0,51368.5,50815.5,48574.5,848398800.0,46167.676,49632.402,47940.145,0,0
2021-12-21,50404.5,51874.0,50800.0,50815.5,746250000.0,47569.586,51495.402,49520.273,0,0
2021-12-22,50005.0,51177.0,50380.0,50800.0,506531400.0,48847.45,52655.406,51716.277,2,2
2021-12-23,49408.5,51314.5,50775.0,50380.0,602764000.0,48362.043,52389.082,51287.926,0,2
2021-12-24,50436.0,52147.0,50700.0,50775.0,725148600.0,47982.914,52272.8,51144.03,0,2
2021-12-25,47242.0,50700.0,47536.0,50700.0,1063412600.0,48404.51,52202.227,51591.984,0,2
2021-12-26,46000.0,48105.0,46415.5,47536.0,942432900.0,46045.965,50488.277,48521.562,0,0
2021-12-27,45872.5,47882.5,47111.0,46415.5,740468800.0,43961.344,48022.332,46288.316,1,1
2021-12-28,45500.0,48546.0,46200.0,47111.0,1045402500.0,45585.96,46991.38,46398.26,0,0
2021-12-29,46192.5,47925.5,47728.5,46200.0,543638500.0,42504.664,46051.2,44962.375,0,1
2021-12-30,46647.5,47992.0,47300.0,47728.5,539072000.0,46791.805,47885.027,47410.035,0,0
2021-12-31,45668.5,47577.0,46425.0,47300.0,760545500.0,46711.38,49116.723,47348.383,2,0
2022-01-01,45500.0,47535.5,45796.0,46425.0,799086600.0,44244.805,47324.258,46279.78,1,1
2022-01-02,42428.0,47067.5,43395.0,45796.0,1753918300.0,44118.88,47704.18,46529.45,2,0
2022-01-03,42333.0,43750.0,43072.0,43395.0,677677400.0,41808.77,45900.84,43461.74,0,1
2022-01-04,40551.0,43131.5,41542.5,43072.0,1289970100.0,38529.7,45659.992,41424.57,1,1
2022-01-05,40491.5,42289.0,41659.5,41542.5,704883100.0,38176.797,43702.58,41546.547,2,1
2022-01-06,41189.0,42750.0,41852.5,41659.5,582614300.0,37398.164,43248.504,40200.004,1,1
2022-01-07,39609.0,42227.5,41800.0,41852.5,1184377100.0,37760.18,43638.484,40622.688,0,1
2022-01-08,41251.0,43090.5,42715.0,41800.0,761201700.0,37782.137,42660.82,39673.34,0,1
2022-01-09,42448.5,44666.0,43898.5,42715.0,762495800.0,38531.2,44082.48,41201.52,0,1
2022-01-10,42330.5,44403.0,42554.5,43898.5,921101900.0,41699.965,46442.87,42889.805,0,0
2022-01-11,41751.5,43460.0,43058.5,42554.5,729986800.0,39992.28,43397.266,41664.11,0,0
2022-01-12,42571.5,43800.0,43075.0,43058.5,500524900.0,39925.797,44683.363,41584.754,0,2
2022-01-13,42603.5,43478.0,43065.0,43075.0,481471900.0,40415.613,44631.9,42067.746,0,0
2022-01-14,41550.0,43172.0,42207.5,43065.0,615739200.0,40460.07,44750.316,42525.125,0,2
2022-01-15,41250.0,42718.5,42362.5,42207.5,604009300.0,39452.16,43466.41,41809.277,0,1
2022-01-16,41111.5,42579.0,41653.0,42362.5,800597500.0,40393.26,44338.19,42214.03,0,0
2022-01-17,40531.5,43503.0,40650.0,41653.0,924430500.0,39024.305,43786.867,41835.195,2,1
2022-01-18,35394.5,41067.0,36436.5,40650.0,2100109600.0,39338.4,43290.484,42201.285,0,0
2022-01-19,33973.0,36799.5,35052.0,36436.5,1213128000.0,35637.53,38878.75,36465.75,0,0
2022-01-20,34613.0,36513.5,36252.0,35052.0,787106900.0,34090.23,37075.902,34995.926,1,0
2022-01-21,32898.5,37560.0,36657.5,36252.0,1752304000.0,34018.9,37015.664,35540.383,0,0
2022-01-22,35717.0,37539.0,36949.0,36657.5,895249700.0,34676.93,37356.19,36184.125,0,0
2022-01-23,36260.0,38906.0,36819.0,36949.0,1077510300.0,36075.418,39256.008,37161.164,2,0
2022-01-24,35514.0,37246.5,37163.5,36819.0,821052200.0,35716.734,37995.758,37180.465,0,0
2022-01-25,36166.0,38002.0,37710.0,37163.5,615703100.0,34616.05,38812.31,36800.293,1,0
2022-01-26,37281.5,38745.0,38174.0,37710.0,577571500.0,35876.22,39001.07,36850.754,0,0
2022-01-27,37342.5,38368.5,37893.5,38174.0,459399600.0,36559.44,39889.85,37898.37,0,0
2022-01-28,36629.5,38745.0,38473.0,37893.5,722617500.0,35696.195,39569.664,37719.566,0,2
2022-01-29,38000.0,39330.5,38687.0,38473.0,884188200.0,36944.117,40854.695,38706.613,2,2
2022-01-30,36602.5,38865.0,36904.5,38687.0,746883200.0,36923.31,40733.39,38970.945,0,2
2022-01-31,36222.5,37379.0,37310.0,36904.5,593239500.0,35804.13,39561.133,37387.7,0,2
2022-02-01,37025.0,41737.0,41585.5,37310.0,1127249600.0,35595.062,38485.26,36265.973,1,0
2022-02-02,40955.0,41949.5,41387.0,41585.5,601055700.0,40021.395,42800.977,40665.133,0,2
2022-02-03,41133.0,42693.0,42375.5,41387.0,569456200.0,39690.316,42416.91,39995.25,0,0
2022-02-04,41623.5,44550.0,43845.5,42375.5,931253100.0,39829.402,42855.105,41256.6,0,0
2022-02-05,42690.0,45530.0,44045.0,43845.5,1229701300.0,42466.684,46096.2,43862.727,2,2
2022-02-06,43116.5,44829.5,44403.0,44045.0,788580400.0,43202.375,47130.93,44929.82,0,2
2022-02-07,43200.0,45853.5,43491.5,44403.0,1287302000.0,42895.258,46666.336,44374.797,1,2
2022-02-08,41934.5,43930.5,42378.0,43491.5,989645700.0,42493.035,43965.32,42744.94,0,0
2022-02-09,41655.0,43002.0,42200.5,42378.0,531980800.0,41123.16,43828.727,42490.53,2,0
2022-02-10,41850.0,42772.5,42061.5,42200.5,520665300.0,40478.914,43194.35,41863.582,1,0
2022-02-11,41516.0,42891.0,42535.5,42061.5,719497200.0,40645.13,43228.754,41975.2,0,1
2022-02-12,42438.0,44765.0,44560.0,42535.5,691393000.0,41194.797,43263.684,42557.793,2,0
2022-02-13,43320.0,44562.5,43878.5,44560.0,659130900.0,43034.12,46428.93,44105.625,1,2
2022-02-14,40066.0,44160.0,40516.0,43878.5,1178660200.0,42959.297,46582.05,44726.66,2,2
2022-02-15,39441.0,40960.0,39988.0,40516.0,804704000.0,39993.434,43755.266,41809.63,0,0
2022-02-16,39638.0,40450.0,40083.5,39988.0,405770300.0,39033.605,42536.234,40141.293,0,1
2022-02-17,37956.5,40120.0,38386.5,40083.5,840769300.0,39013.637,41816.816,40035.56,1,0
2022-02-18,36800.0,39499.0,37014.0,38386.5,1341356400.0,37784.2,40833.668,39456.184,2,0
2022-02-19,36321.0,38435.0,38240.0,37014.0,887993200.0,36060.855,39180.81,37505.8,0,1
2022-02-20,37050.0,39270.0,37262.0,38240.0,825792400.0,36373.746,39169.05,37451.35,1,0
2022-02-21,34348.5,40051.5,38330.0,37262.0,1926224100.0,35822.176,39029.39,37755.273,2,0
2022-02-22,37970.0,39677.5,39207.5,38330.0,872453700.0,36293.18,39247.793,36910.074,1,0
2022-02-23,38583.5,40291.0,39115.0,39207.5,535537500.0,37175.176,41878.22,39765.96,2,0
2022-02-24,36965.0,39879.0,37693.0,39115.0,898544700.0,38502.6,40444.08,39439.86,0,0
2022-02-25,37434.5,44584.0,43176.5,37693.0,1368628000.0,34316.664,39275.816,36981.824,1,1
2022-02-26,42861.0,44971.0,44427.0,43176.5,1009734100.0,41266.137,43596.832,41684.984,0,0
2022-02-27,43300.0,45356.5,43909.0,44427.0,1139678100.0,43114.055,46551.01,44648.746,2,2
2022-02-28,41820.0,44088.0,42439.5,43909.0,1004227200.0,43357.277,46064.6,44028.195,0,2
2022-03-01,38500.0,42508.0,39128.5,42439.5,1137405600.0,41298.684,43759.586,42177.38,1,0
2022-03-02,38549.5,39578.0,39375.5,39128.5,481970100.0,39210.016,41536.934,40242.324,2,0
2022-03-03,38075.0,39693.0,38400.5,39375.5,889739400.0,37771.867,40913.98,38938.55,1,0
2022-03-04,37135.5,39545.0,37967.0,38400.5,1194820500.0,37838.316,39932.68,39082.777,2,0
2022-03-05,37857.0,39381.0,38723.5,37967.0,1087892900.0,36412.03,39230.848,37570.59,1,1
2022-03-06,38641.5,42596.5,41954.5,38723.5,1079137900.0,38063.008,40523.035,39807.848,2,0
2022-03-07,38420.0,42037.0,39418.0,41954.5,1351599500.0,40261.504,42258.2,41351.32,1,0
2022-03-08,38239.0,40245.5,38714.5,39418.0,979194400.0,39279.234,42001.41,39853.105,2,0
2022-03-09,38645.5,39480.0,38794.0,38714.5,377767900.0,37770.3,40566.07,38752.902,0,0
2022-03-10,37548.0,39306.5,37749.0,38794.0,607095300.0,37778.484,39627.105,38683.543,1,0
2022-03-11,37527.5,39916.5,39662.0,37749.0,721078400.0,35790.598,38553.74,37823.293,2,1
2022-03-12,38112.0,39892.0,39280.5,39662.0,677379000.0,37483.45,41264.516,39504.918,1,0
2022-03-13,38752.0,41790.0,41115.5,39280.5,1212441800.0,37454.88,42121.89,39848.82,2,0
2022-03-14,40450.0,41472.0,40914.0,41115.5,519838500.0,40008.832,43600.516,41095.207,1,2
2022-03-15,40160.0,42352.0,41768.5,40914.0,691900400.0,39802.938,42943.82,40684.32,0,2
2022-03-16,41509.5,42429.0,42222.0,41768.5,463051600.0,39631.42,42551.06,40985.19,0,2
2022-03-17,40902.0,42293.5,41268.0,42222.0,703329300.0,40360.918,43303.668,42073.754,0,2
2022-03-18,40421.5,41541.0,40983.0,41268.0,1161427500.0,39939.844,43989.84,41887.48,2,2
2022-03-19,40867.5,43420.5,42354.0,40983.0,1139088700.0,39981.395,42508.91,40936.098,1,0
2022-03-20,41691.5,43024.0,42892.0,42354.0,918961000.0,41268.48,44133.32,42864.71,2,2
2022-03-21,42270.0,44240.0,43991.0,42892.0,1057549400.0,41015.62,43715.137,41981.656,1,0
